intraplate,type_setting,type_unknown,coronae,ridges,rifts
-0.6251382953687674,inactive_max,slope,,,
-0.6251382953687672,inactive_min,slope,,,
11.754579016399276,inactive_max,intercept,,,
11.728250077676925,inactive_min,intercept,,,
-0.6251382953687672,active_high_max,slope,-0.6382654565388383,-0.6168396816461761,-0.8898451902826325
-0.6251382953687674,active_high_min,slope,-0.6382654565388379,-0.6168396816461762,-0.8898451902826323
-0.6251382953687672,active_low_max,slope,-0.6382654565388381,-0.6168396816461761,-0.6888899625734662
-0.6251382953687674,active_low_min,slope,-0.6382654565388378,-0.6168396816461762,-0.6888899625734662
11.723351976888948,active_low_max,intercept,12.978497694016411,11.489220102433146,12.977278107299577
11.697023038166598,active_low_min,intercept,12.95216875529406,11.462891163710799,12.950949168577225
11.696389441631828,active_high_max,intercept,13.44584488511938,11.489220102433146,17.16697378063446
11.670060502909482,active_high_min,intercept,13.419515946397029,11.462891163710799,17.140644841912106
